2theta	Theorical peaks	2theta	I	2theta	I
deg	Intensity	deg	(a.u.)	deg	(a.u.)
2H-WSe2	2H-WSe2	x=15,d=21%	x=15,d=21%	x=0,d=4%	x=0,d=4%
		17.14	0.00544959128065395	20.40225	0.00609219025249563
		17.16	0.00333030578262186	20.42855	0.00543159130945388
		17.18	0.00242204056917953	20.45485	0.00611665688001569
		17.2	0.00423857099606418	20.48115	0.00540712468193382
		17.22	0.00333030578262186	20.50745	0.00435505969857119
		17.24	0.00544959128065395	20.53375	0.00582305734977486
		17.26	0.00514683620950651	20.56005	0.00484439224897242
		17.28	0.00302755071147442	20.58635	0.00496672538657272
		17.3	0.00393581592491674	20.61265	0.00663045605793697
		17.32	0.00484408113835907	20.63895	0.00489332550401254
		17.34	0.00544959128065395	20.66525	0.00572519083969461
		17.36	0.00454132606721163	20.69155	0.00545605793697394
		17.38	0.00211928549803209	20.71785	0.00555392444705419
		17.4	0.00302755071147442	20.74415	0.00557839107457425
		17.42	0.00454132606721163	20.77045	0.005480524564494
		17.44	0.00393581592491674	20.79675	0.00594539048737526
		17.46	0.00514683620950651	20.82305	0.00565179095713443
		17.48	0.00605510142294883	20.84935	0.00494225875905266
		17.5	0.00333030578262186	20.87565	0.0050401252691329
		17.52	0.0036330608537693	20.90195	0.00606772362497557
		17.54	0.00393581592491674	20.92825	0.00472205911137211
		17.56	0.00302755071147442	20.95455	0.00484439224897242
		17.58	0.00423857099606418	20.98085	0.00386572714816987
		17.6	0.00454132606721163	21.00715	0.00511352515169309
		17.62	0.00514683620950651	21.03345	0.00596985711489532
		17.64	0.00454132606721163	21.05975	0.00489332550401254
		17.66	0.00544959128065395	21.08605	0.00494225875905266
		17.68	0.00333030578262186	21.11235	0.00494225875905266
		17.7	0.00514683620950651	21.13865	0.00393912703073005
		17.72	0.00484408113835907	21.16495	0.00518692503425327
		17.74	0.00393581592491674	21.19125	0.00437952632609125
		17.76	0.00666061156524372	21.21755	0.00420825993345073
		17.78	0.00423857099606418	21.24385	0.00538265805441376
		17.8	0.00423857099606418	21.27015	0.00543159130945388
		17.82	0.00605510142294883	21.29645	0.00489332550401254
		17.84	0.00666061156524372	21.32275	0.0049177921315326
		17.86	0.00454132606721163	21.34905	0.00469759248385205
		17.88	0.00544959128065395	21.37535	0.00455079271873168
		17.9	0.00423857099606418	21.40165	0.00528479154433351
		17.92	0.00423857099606418	21.42795	0.0044773928361715
		17.94	0.00605510142294883	21.45425	0.0041593266784106
		17.96	0.00514683620950651	21.48055	0.0041593266784106
		17.98	0.00423857099606418	21.50685	0.00423272656097079
		18	0.00514683620950651	21.53315	0.00413486005089054
		18.02	0.0036330608537693	21.55945	0.00445292620865144
		18.04	0.00514683620950651	21.58575	0.00437952632609125
		18.06	0.00302755071147442	21.61205	0.00369446075552944
		18.08	0.00272479564032698	21.63835	0.00428165981601101
		18.1	0.00484408113835907	21.66465	0.00320512820512822
		18.12	0.00393581592491674	21.69095	0.0045997259737718
		18.14	0.00484408113835907	21.71725	0.00379232726560969
		18.16	0.00454132606721163	21.74355	0.0045997259737718
		18.18	0.00575234635180139	21.76985	0.00450185946369156
		18.2	0.00393581592491674	21.79615	0.00437952632609125
		18.22	0.00272479564032698	21.82245	0.00452632609121162
		18.24	0.00484408113835907	21.84875	0.00391466040320999
		18.26	0.00272479564032698	21.87505	0.00406146016833036
		18.28	0.0036330608537693	21.90135	0.00332746134272853
		18.3	0.0036330608537693	21.92765	0.00440399295361131
		18.32	0.00544959128065395	21.95395	0.00349872773536896
		18.34	0.00302755071147442	21.98025	0.00330299471520847
		18.36	0.0036330608537693	22.00655	0.00354766099040908
		18.38	0.00484408113835907	22.03285	0.00335192797024859
		18.4	0.00333030578262186	22.05915	0.00428165981601101
		18.42	0.00393581592491674	22.08545	0.00278919553728718
		18.44	0.00272479564032698	22.11175	0.0045997259737718
		18.46	0.00575234635180139	22.13805	0.00433059307105113
		18.48	0.00544959128065395	22.16435	0.00401252691329024
		18.5	0.00454132606721163	22.19065	0.00430612644353107
		18.52	0.00514683620950651	22.21695	0.00474652573889217
		18.54	0.00333030578262186	22.24325	0.0049177921315326
		18.56	0.00635785649409628	22.26955	0.00327852808768841
		18.58	0.00484408113835907	22.29585	0.00464865922881193
		18.6	0.00454132606721163	22.32215	0.00327852808768841
		18.62	0.00393581592491674	22.34845	0.00357212761792914
		18.64	0.00514683620950651	22.37475	0.00384126052064981
		18.66	0.00393581592491674	22.40105	0.00369446075552944
		18.68	0.00423857099606418	22.42735	0.0035965942454492
		18.7	0.00454132606721163	22.45365	0.00369446075552944
		18.72	0.00423857099606418	22.47995	0.00442845958113138
		18.74	0.00666061156524372	22.50625	0.00330299471520847
		18.76	0.00514683620950651	22.53255	0.0050401252691329
		18.78	0.00756887677868604	22.55885	0.00337639459776865
		18.8	0.00605510142294883	22.58515	0.00286259541984737
		18.82	0.00696336663639116	22.61145	0.00408592679585042
		18.84	0.00302755071147442	22.63775	0.00362106087296926
		18.86	0.00756887677868604	22.66405	0.00469759248385205
		18.88	0.00272479564032698	22.69035	0.00464865922881193
		18.9	0.00635785649409628	22.71665	0.00391466040320999
		18.92	0.00635785649409628	22.74295	0.00455079271873168
		18.94	0.00423857099606418	22.76925	0.00325406146016834
		18.96	0.00575234635180139	22.79555	0.00455079271873168
		18.98	0.00423857099606418	22.82185	0.00313172832256804
		19	0.00454132606721163	22.84815	0.00291152867488749
		19.02	0.00454132606721163	22.87445	0.00401252691329024
		19.04	0.00544959128065395	22.90075	0.00374339401056956
		19.06	0.00756887677868604	22.92705	0.0040369935408103
		19.08	0.00544959128065395	22.95335	0.00364552750048932
		19.1	0.00666061156524372	22.97965	0.00269132902720694
		19.12	0.00514683620950651	23.00595	0.00335192797024859
		19.14	0.00544959128065395	23.03225	0.00362106087296926
		19.16	0.00635785649409628	23.05855	0.00320512820512822
		19.18	0.00454132606721163	23.08485	0.00437952632609125
		19.2	0.00544959128065395	23.11115	0.0037189273830495
		19.22	0.00514683620950651	23.13745	0.00393912703073005
		19.24	0.00817438692098093	23.16375	0.00420825993345073
		19.26	0.00635785649409628	23.19005	0.00398806028577018
		19.28	0.00393581592491674	23.21635	0.00423272656097079
		19.3	0.0036330608537693	23.24265	0.00450185946369156
		19.32	0.00756887677868604	23.26895	0.00494225875905266
		19.34	0.00484408113835907	23.29525	0.00457525934625174
		19.36	0.00454132606721163	23.32155	0.00496672538657272
		19.38	0.00696336663639116	23.34785	0.00555392444705419
		19.4	0.00635785649409628	23.37415	0.00663045605793697
		19.42	0.00575234635180139	23.40045	0.00775592092385988
		19.44	0.00847714199212837	23.42675	0.00819632021922098
		19.46	0.00393581592491674	23.45305	0.00959091798786457
		19.48	0.0036330608537693	23.47935	0.00866118614210214
		19.5	0.00393581592491674	23.50565	0.00978665100802506
		19.52	0.00302755071147442	23.53195	0.00949305147778432
		19.54	0.00454132606721163	23.55825	0.0100557839107457
		19.56	0.00635785649409628	23.58455	0.00939518496770408
