H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum
-1582.3044	2.7790776E-7	1.94341090909091E-5	-2.68896969483286E-4	-0.9993884434403
-1607.4372	3.176648E-8	2.22143216783217E-6	-2.90411040190939E-4	-1.04195631334653
-1632.7752	3.5633479E-7	2.49185167832168E-5	-2.72050468646664E-4	-0.936356162462774
-1657.9404	-9.616394E-7	-6.72475104895105E-5	-3.68523434854473E-4	-0.922960361355881
-1683.0476	2.3418101E-6	1.63762944055944E-4	-1.41809992740109E-4	-0.913303979631475
-1708.1723	9.6196666E-7	6.72703958041958E-5	-2.42602548488807E-4	-0.924133408029049
-1733.2956	6.2245346E-7	4.3528213986014E-5	-2.7064449819867E-4	-0.845794966249485
-1758.4177	4.3502759E-7	3.04215097902098E-5	-2.8805076491021E-4	-0.971378061692244
-1783.5411	1.3428542E-6	9.39058881118881E-5	-2.28866171594875E-4	-1.00004080754329
-1808.661	-4.4419919E-7	-3.10628804195804E-5	-3.58134126119515E-4	-0.997633321743046
-1833.7967	5.9543204E-7	4.16386041958042E-5	-2.89734531613906E-4	-1.02419977876363
-1858.8991	1.0314738E-6	7.2131034965035E-5	-2.63538291771987E-4	-1.05444625050154
-1884.0279	1.2078299E-7	8.44636293706294E-6	-3.31523672998053E-4	-0.962633987546223
-1909.1437	9.3672484E-7	6.55052335664336E-5	-2.7876328666071E-4	-0.94070495004502
-1934.2769	2.1966865E-6	1.53614440559441E-4	-1.94955541910927E-4	-0.965325617571625
-1959.3972	1.491765E-6	1.04319230769231E-4	-2.48550006152957E-4	-0.909884366093082
-1984.5153	7.658192E-7	5.35537902097902E-5	-3.03614324641651E-4	-0.970396991151581
-2009.6305	1.8536944E-6	1.29628979020979E-4	-2.31837517434517E-4	-0.993729941951899
-2012.6638	5.5011378E-7	3.84694951048951E-5	-3.23516140394669E-4	-1.05074229150076
-1987.6585	3.3886486E-7	2.36968433566434E-5	-3.34009219552463E-4	-1.08937915874277
-1962.6612	4.304839E-7	3.01037692307692E-5	-3.23324090260844E-4	-1.10621477781678
-1937.6671	-1.2125678E-7	-8.4794951048951E-6	-3.576296988482E-4	-1.08817879964834
-1912.6631	1.190865E-6	8.32772727272727E-5	-2.61593580916181E-4	-1.0457912156037
-1887.6617	6.5309857E-7	4.56712286713287E-5	-2.94920719853487E-4	-0.999208500339323
-1862.6615	1.0497588E-6	7.34097062937063E-5	-2.62903542488416E-4	-0.972594320814727
-1837.6563	1.2460797E-6	8.71384405594406E-5	-2.44895252746886E-4	-1.01233949130617
-1812.6558	1.9584217E-7	1.36952566433566E-5	-3.1405968557629E-4	-1.01504772493649
-1787.6569	-1.4856472E-7	-1.03891412587413E-5	-3.33865606226302E-4	-1.03964099099069
-1762.6551	2.3822876E-7	1.66593538461538E-5	-3.0253813754412E-4	-1.10226246321711
-1737.6547	8.856747E-8	6.19352937062937E-6	-3.08725228047628E-4	-1.10595021802073
-1712.6557	-6.6440073E-7	-4.64615895104895E-5	-3.57101852561998E-4	-1.09182894999352
-1687.6561	-2.4346042E-7	-1.70252041958042E-5	-3.23386870192592E-4	-1.103271085674
